ts,expiry,spot,n_contracts,atm_iv,oi_pcr,oi_pcr_usd,oi_pcr_2pct,oi_pcr_4pct,oi_pcr_10pct,vol_pcr,iv_skew,iv_wing,delta_pcr,theta_pcr,vega_pcr,sr_support_dist,sr_resistance_dist,sr_support_oi,sr_resistance_oi,net_dir_score,gamma_tilt,max_pain_dist,iv_bidask,iv_term_slope,funding_rate,perp_basis,ls_ratio_top,ls_ratio_global,ls_divergence,taker_ratio,total_oi,total_vol,perp_oi
1781434698127,260615,64532.90608696,26,0.349,0.9781969775924961,0.9781969775924961,0.8517664266426643,0.544624476252755,0.9781969775924961,0.6416305743574119,-0.015,0.1305,0.4254920868147832,0.5389700108057247,0.5997448173664863,-0.07024177837042977,0.022734043792527192,150.74,143.43,0.114661,0.227537,-0.008258,0.003966,0.033,-3.729e-05,-0.0005898175804347921,1.5183,1.426,0.0923,0.7337,949.04,754.28,100867.994
1781434757803,260615,64531.68652174,26,0.349,0.9783011985409068,0.9783011985409068,0.8517664266426643,0.5447455738816633,0.9783011985409068,0.6417393953903411,-0.014,0.131,0.4246067487814648,0.5366474588186722,0.5978487400919054,-0.07022420714532729,0.022753372140139838,150.74,143.43,0.114594,0.228022,-0.008239,0.003968,0.033,-3.729e-05,-0.0006273897975122767,1.5183,1.426,0.0923,0.7337,949.09,754.3299999999999,100866.804
1781434817806,260615,64509.99804348,26,0.35,0.9784054194893174,0.9784054194893173,0.8517664266426643,0.5448666715105719,0.9784054194893174,0.6414294103573527,-0.021,0.1295,0.44001498469012973,0.5374299169139205,0.6088965764265418,-0.06991161339735652,0.023097225262907806,150.74,143.43,0.114683,0.213278,-0.007906,0.00397,0.032,-3.766e-05,-0.0005766244707514524,1.5183,1.426,0.0923,0.7337,949.14,754.6800000000001,100869.375
1781434877813,260615,64515.75434783,26,0.35,0.9785096404377279,0.978509640437728,0.8517664266426643,0.5449877691394803,0.9785096404377279,0.6415164103791026,-0.021,0.1275,0.43667090931419694,0.5455054964135116,0.6064509776962582,-0.06999459889260196,0.023005941218137815,150.74,143.43,0.114624,0.225835,-0.007994,0.003971,0.032,-3.81e-05,-0.0005402093391588115,1.5183,1.426,0.0923,0.7337,949.19,754.72,100858.394
1781434937822,260615,64507.49195652,26,0.35,0.9779814602645558,0.9779814602645558,0.8503313489834887,0.5446888840485007,0.9779814602645558,0.6416251604062901,-0.018,0.128,0.4421677006701529,0.5419469493864054,0.6111868320975136,-0.0698754798831458,0.023136972128539712,150.74,143.43,0.114718,0.214793,-0.007867,0.003972,0.032,-3.809e-05,-0.0005707456824084902,1.5183,1.4248,0.0935,0.7337,949.53,754.77,100861.065
1781434997830,260615,64501.85869565,26,0.35,0.9780856160816582,0.9780856160816581,0.8503313489834887,0.544809893753479,0.9780856160816582,0.6416251604062901,-0.024,0.129,0.4439148056248322,0.5408344760003997,0.6110101430382359,-0.06979424758737385,0.023226327653888656,150.74,143.43,0.114692,0.214303,-0.007781,0.003974,0.032,-3.809e-05,-0.0006405076091594768,1.5176,1.4248,0.0928,0.5158,949.58,754.77,100843.418
1781435057832,260615,64482.6973913,26,0.35,0.9780856160816582,0.9780856160816582,0.8503313489834887,0.544809893753479,0.9780856160816582,0.6416251604062901,-0.024,0.128,0.4567657443954956,0.5458440666874851,0.6201935094797912,-0.06951783304128345,0.02353038365458815,150.74,143.43,0.114692,0.203572,-0.007486,0.003977,0.042,-3.856e-05,-0.0005783755977361754,1.5176,1.4248,0.0928,0.5158,949.58,754.77,100836.628
1781435117844,260615,64479.54630435,26,0.351,0.9780856160816582,0.9780856160816582,0.8503313489834887,0.544809893753479,0.9780856160816582,0.6416112053590848,-0.05,0.115,0.45657052019228533,0.5389782251904801,0.6133659922697341,-0.06947236078873886,0.023580403132387184,150.74,143.43,0.114697,0.209741,-0.007437,0.003979,0.041,-3.923e-05,-0.0005304288362540037,1.5176,1.4237,0.0939,0.5158,949.58,754.78,100812.96
1781435177845,260615,64464.5073913,26,0.35,0.9780856160816582,0.9780856160816582,0.8503313489834887,0.544809893753479,0.9780856160816582,0.6416112053590848,-0.047,0.1175,0.4687029213244957,0.5398527547153258,0.6238523060557111,-0.06925527816726207,0.023819194016011735,150.74,143.43,0.114697,0.194385,-0.007206,0.003982,0.042,-3.923e-05,-0.0006193487561621504,1.517,1.4237,0.0933,0.5158,949.58,754.78,100818.559
1781435237847,260615,64490.3073913,26,0.35,0.9780856160816582,0.9780856160816581,0.8503313489834887,0.544809893753479,0.9780856160816582,0.6411092276263746,-0.042,0.12,0.4429460805251543,0.5379195395827451,0.6045422347882599,-0.0696276320107253,0.0234096047882022,150.74,143.43,0.114883,0.221256,-0.007603,0.00398,0.042,-3.939e-05,-0.000363479258171457,1.517,1.4237,0.0933,0.5158,949.58,755.14,100815.381
